team_api_id,team_name,source,note
57,Ipswich Town FC,https://en.wikipedia.org/wiki/Ipswich_Town_F.C.,"Provider sends bare ""Ipswich"", the town name, missing ""Town FC"" entirely."
63,Leeds United FC,https://en.wikipedia.org/wiki/Leeds_United_F.C.,"Provider sends bare ""Leeds"", the city name, missing ""United FC"" entirely."
40,Liverpool FC,https://en.wikipedia.org/wiki/Liverpool_F.C.,"Provider sends bare ""Liverpool"", the city name, not the club."
50,Manchester City FC,https://en.wikipedia.org/wiki/Manchester_City_F.C.,"Provider sends ""Manchester City"" without the FC suffix Wikipedia's article title carries."
33,Manchester United FC,https://en.wikipedia.org/wiki/Manchester_United_F.C.,"Provider sends ""Manchester United"" without the FC suffix Wikipedia's article title carries."
34,Newcastle United FC,https://en.wikipedia.org/wiki/Newcastle_United_F.C.,"Provider sends bare ""Newcastle"", the city name, missing ""United FC"" entirely."
65,Nottingham Forest FC,https://en.wikipedia.org/wiki/Nottingham_Forest_F.C.,"Provider sends ""Nottingham Forest"" without the FC suffix Wikipedia's article title carries."
746,Sunderland AFC,https://en.wikipedia.org/wiki/Sunderland_A.F.C.,"Provider sends bare ""Sunderland"", the city name, not the club."
47,Tottenham Hotspur FC,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,"Provider sends bare ""Tottenham"", a London district, missing ""Hotspur FC"" entirely."
48,West Ham United FC,https://en.wikipedia.org/wiki/West_Ham_United_F.C.,"Provider sends ""West Ham"", a London district, missing ""United FC"" entirely."
39,Wolverhampton Wanderers FC,https://en.wikipedia.org/wiki/Wolverhampton_Wanderers_F.C.,"Provider sends the nickname ""Wolves"", not the club's actual name."
542,Deportivo Alavés,https://en.wikipedia.org/wiki/Deportivo_Alav%C3%A9s,"Provider sends ""Alaves"", no accent, missing ""Deportivo""."
530,Atlético Madrid,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Madrid,"Provider sends ""Atletico Madrid"", no accent."
538,RC Celta de Vigo,https://en.wikipedia.org/wiki/RC_Celta_de_Vigo,"Provider sends ""Celta Vigo"", missing ""RC"" and ""de""."
544,Deportivo de A Coruña,https://en.wikipedia.org/wiki/Deportivo_de_A_Coru%C3%B1a,"Provider sends ""Deportivo La Coruna"", wrong preposition and article, no accent."
797,Elche CF,https://en.wikipedia.org/wiki/Elche_CF,"Provider sends bare ""Elche"", the city name, not the club."
540,RCD Espanyol,https://en.wikipedia.org/wiki/RCD_Espanyol,"Provider sends bare ""Espanyol"" without the RCD prefix Wikipedia's article title carries."
546,Getafe CF,https://en.wikipedia.org/wiki/Getafe_CF,"Provider sends bare ""Getafe"", the city name, not the club."
547,Girona FC,https://en.wikipedia.org/wiki/Girona_FC,"Provider sends bare ""Girona"", the city name, not the club."
539,Levante UD,https://en.wikipedia.org/wiki/Levante_UD,"Provider sends bare ""Levante"" without the UD suffix Wikipedia's article title carries."
798,RCD Mallorca,https://en.wikipedia.org/wiki/RCD_Mallorca,"Provider sends bare ""Mallorca"", the island name, not the club."
727,CA Osasuna,https://en.wikipedia.org/wiki/CA_Osasuna,"Provider sends bare ""Osasuna"" without the CA prefix Wikipedia's article title carries."
718,Real Oviedo,https://en.wikipedia.org/wiki/Real_Oviedo,"Provider sends bare ""Oviedo"", the city name, missing ""Real""."
4665,Racing de Santander,https://en.wikipedia.org/wiki/Racing_de_Santander,"Provider sends ""Racing Santander"", missing ""de""."
532,Valencia CF,https://en.wikipedia.org/wiki/Valencia_CF,"Provider sends bare ""Valencia"", the city name, not the club."
533,Villarreal CF,https://en.wikipedia.org/wiki/Villarreal_CF,"Provider sends bare ""Villarreal"", the city name, not the club."
496,Juventus FC,https://en.wikipedia.org/wiki/Juventus_FC,"Provider sends bare ""Juventus"" without the FC suffix Wikipedia's article title carries."
487,SS Lazio,https://en.wikipedia.org/wiki/SS_Lazio,"Provider sends bare ""Lazio"", the region name, not the club."
867,US Lecce,https://en.wikipedia.org/wiki/US_Lecce,"Provider sends bare ""Lecce"", the city name, not the club."
492,SSC Napoli,https://en.wikipedia.org/wiki/SSC_Napoli,"Provider sends bare ""Napoli"", the city name, not the club."
503,Torino FC,https://en.wikipedia.org/wiki/Torino_FC,"Provider sends bare ""Torino"", the city name, not the club."
494,Udinese Calcio,https://en.wikipedia.org/wiki/Udinese_Calcio,"Provider sends bare ""Udinese"" without the Calcio suffix Wikipedia's article title carries."
499,Atalanta BC,https://en.wikipedia.org/wiki/Atalanta_BC,"Provider sends bare ""Atalanta"" without the BC suffix Wikipedia's article title carries."
500,Bologna FC 1909,https://en.wikipedia.org/wiki/Bologna_FC_1909,"Provider sends bare ""Bologna"", the city name, not the club."
490,Cagliari Calcio,https://en.wikipedia.org/wiki/Cagliari_Calcio,"Provider sends bare ""Cagliari"", the city name, not the club."
895,Como 1907,https://en.wikipedia.org/wiki/Como_1907,"Provider sends bare ""Como"", the city name, missing the founding-year suffix Wikipedia's article title carries."
520,US Cremonese,https://en.wikipedia.org/wiki/US_Cremonese,"Provider sends bare ""Cremonese"" without the US prefix Wikipedia's article title carries."
502,ACF Fiorentina,https://en.wikipedia.org/wiki/ACF_Fiorentina,"Provider sends bare ""Fiorentina"" without the ACF prefix Wikipedia's article title carries."
495,Genoa CFC,https://en.wikipedia.org/wiki/Genoa_C.F.C.,"Provider sends bare ""Genoa"", the city name, not the club."
504,Hellas Verona FC,https://en.wikipedia.org/wiki/Hellas_Verona_F.C.,"Provider sends ""Hellas Verona"" without the FC suffix Wikipedia's article title carries."
801,Pisa SC,https://en.wikipedia.org/wiki/Pisa_S.C.,"Provider sends bare ""Pisa"", the city name, not the club."
488,US Sassuolo,https://en.wikipedia.org/wiki/US_Sassuolo_Calcio,"Provider sends bare ""Sassuolo"", the city name, not the club."
